VideoTitle,AvgViews_Last10,ThisVideo_Views,Likes,Comments,CTR_percent,Thumbnail_Type,Title_Type,Upload_Date,Duration_sec,Subscriber_Count,Above_Avg_Ratio,Is_Outlier
"5 Ways to Save ₹10,000 Every Month",118638,440080,15365,813,7.32,Face+Emotion,Numbers,2025-04-25,185,667733,3.71,True
How I Paid Off ₹5 Lakh Debt in 6 Months,128014,102411,6142,705,13.22,TextOnly,Story,2025-04-09,281,603229,0.8,False
Best Apps for Money Management in 2025,46338,61470,4871,1208,8.5,TextOnly,Tool,2025-07-05,163,406565,1.33,False
Top 7 Productivity Hacks to Double Your Focus,41102,40888,1966,300,11.82,Face+Emotion,Numbers,2025-03-13,750,260264,0.99,False
Why Most People Fail at Budgeting (and How to Fix It),111484,97606,2674,602,12.86,Face+Emotion,Problem-Solution,2025-08-15,797,788937,0.88,False
3 Habits That Changed My Financial Life,127784,234665,17590,1116,8.3,Face+Emotion,Story,2025-03-29,668,799132,1.84,False
Stop Wasting Money on These 5 Things,79475,213451,16386,1750,12.33,Illustration,Problem-Solution,2025-06-08,788,334669,2.69,True
Beginner's Guide to Investing in Mutual Funds,100867,40346,1479,212,6.04,Illustration,How-to,2025-07-28,843,154681,0.4,False
Morning Routine for Maximum Productivity,122044,103347,5289,1070,6.74,Face+Emotion,How-to,2025-05-15,502,668242,0.85,False
How to Build an Emergency Fund in 2025,50640,66669,1952,457,4.16,Illustration,How-to,2025-06-03,741,404679,1.32,False
